--- Omni-Extractor v3.1 Session Start at 2026-05-09 17:39:56.357559 ---
[17:39:56] Omni-Extractor v3.1: No-Limit Strategy (Min Freq: 5)
[17:39:56] Performing global frequency census...
[18:14:50] [22/203] Synthesizing: R1-10280 (Hits: 29)
[18:14:55] [23/203] Synthesizing: V1-10637 (Hits: 27)
[18:15:00] [24/203] Synthesizing: V1-10643 (Hits: 27)
[18:15:05] [25/203] Synthesizing: X1-4988 (Hits: 25)
[18:15:10] [26/203] Synthesizing: R1-8715 (Hits: 25)
[18:15:15] [27/203] Synthesizing: R1-8612 (Hits: 24)
[18:15:19] [28/203] Synthesizing: R1-15696 (Hits: 24)
[18:15:24] [29/203] Synthesizing: R1-10469 (Hits: 23)
[18:15:29] [30/203] Synthesizing: R1-1089 (Hits: 23)
[18:15:34] [31/203] Synthesizing: R1-1176 (Hits: 23)
[18:15:39] [32/203] Synthesizing: R1-3529 (Hits: 23)
[18:15:44] [33/203] Synthesizing: R1-1092 (Hits: 19)
[18:15:49] [34/203] Synthesizing: R1-15020 (Hits: 19)
[18:15:54] [35/203] Synthesizing: R1-10081 (Hits: 18)
[18:15:59] [36/203] Synthesizing: R1-4114 (Hits: 17)
[18:16:04] [37/203] Synthesizing: R1-8138 (Hits: 17)
[18:16:09] [38/203] Synthesizing: V1-10670 (Hits: 15)
[18:16:14] [39/203] Synthesizing: R3-0125 (Hits: 15)
[18:16:19] [40/203] Synthesizing: R1-16501 (Hits: 14)
[18:16:23] [41/203] Synthesizing: R1-15460N (Hits: 14)
[18:16:28] [42/203] Synthesizing: V1-8176 (Hits: 14)
[18:16:33] [43/203] Synthesizing: R1-3152 (Hits: 14)
[18:16:38] [44/203] Synthesizing: R1-8032C (Hits: 13)
[18:16:43] [45/203] Synthesizing: R1-8717QIP (Hits: 13)
[18:16:48] [46/203] Synthesizing: R1-8142 (Hits: 11)
[18:16:53] [47/203] Synthesizing: R1-19536 (Hits: 11)
[18:16:58] [48/203] Synthesizing: R1-12354 (Hits: 10)
[18:17:02] [49/203] Synthesizing: R1-2352 (Hits: 9)
[18:17:07] [50/203] Synthesizing: R1-2355 (Hits: 9)
[18:17:12] [51/203] Synthesizing: V1-1066 (Hits: 9)
[18:17:17] [52/203] Synthesizing: R1-8144 (Hits: 9)
[18:17:22] [53/203] Synthesizing: R1-3538 (Hits: 9)
[18:17:27] [54/203] Synthesizing: R1-8131 (Hits: 9)
[18:17:32] [55/203] Synthesizing: R1-3293 (Hits: 8)
[18:17:37] [56/203] Synthesizing: R11-8028 (Hits: 8)
[18:17:41] [57/203] Synthesizing: R1-3440 (Hits: 8)
[18:17:46] [58/203] Synthesizing: R1-15170 (Hits: 8)
[18:17:51] [59/203] Synthesizing: R1-2626 (Hits: 7)
[18:17:56] [60/203] Synthesizing: R1-15017 (Hits: 7)
[18:18:01] [61/203] Synthesizing: R1-8175QIP (Hits: 7)
[18:18:06] [62/203] Synthesizing: V2-20190 (Hits: 7)
[18:18:11] [63/203] Synthesizing: R1-8677 (Hits: 6)
[18:18:16] [64/203] Synthesizing: R1-16148 (Hits: 6)
[18:18:21] [65/203] Synthesizing: V1-10668 (Hits: 6)
[18:18:25] [66/203] Synthesizing: R1-8816 (Hits: 6)
[18:18:30] [67/203] Synthesizing: R1-8817 (Hits: 5)
[18:18:35] [68/203] Synthesizing: R1-8039MM (Hits: 5)
[18:18:40] [69/203] Synthesizing: R1-90353D (Hits: 5)
[18:18:45] [70/203] Synthesizing: R1-1574 (Hits: 5)
[18:18:50] [71/203] Synthesizing: R1-10042 (Hits: 5)
[18:18:55] [72/203] Synthesizing: R1-10461 (Hits: 5)
[18:19:00] [73/203] Synthesizing: R1-15024 (Hits: 5)
[18:19:05] [74/203] Synthesizing: R1-15799 (Hits: 5)
[18:19:10] [75/203] Synthesizing: R1-2351 (Hits: 5)
